Accession,BioSample,Organism_Name,Species,Genus,Family,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
KX858438,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0033,385,partial,Cambodia,Cambodia,Myotis horsfieldii,oronasopharynx,,2011-06-22,2017-03-17,ssRNA(+)
KX858439,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0033,385,partial,Cambodia,Cambodia,Myotis horsfieldii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2011-06-22,2017-03-17,ssRNA(+)
KX858440,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0036,385,partial,Cambodia,Cambodia,Myotis horsfieldii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2011-06-22,2017-03-17,ssRNA(+)
KX858441,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0038,348,partial,Cambodia,Cambodia,Myotis horsfieldii,feces,,2011-06-22,2017-03-17,ssRNA(+)
KX858442,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0039,385,partial,Cambodia,Cambodia,Myotis horsfieldii,oronasopharynx,,2011-06-22,2017-03-17,ssRNA(+)
KX858443,,Bat astrovirus Myr/Anhui/A900/2005,Bat astrovirus Myr/Anhui/A900/2005,Mamastrovirus,Astroviridae,,Bat Astrovirus Myr/Anhui/A900/2005/PREDICT_KH11KCh1-0037,382,partial,Cambodia,Cambodia,Myotis horsfieldii,oronasopharynx,,2011-06-22,2017-03-17,ssRNA(+)
KX858444,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0039,385,partial,Cambodia,Cambodia,Myotis horsfieldii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2011-06-22,2017-03-17,ssRNA(+)
KX858445,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0024,384,partial,Cambodia,Cambodia,Myotis horsfieldii,oronasopharynx,,2011-06-22,2017-03-17,ssRNA(+)
KX858446,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0021,385,partial,Cambodia,Cambodia,Myotis horsfieldii,oronasopharynx,,2011-06-22,2017-03-17,ssRNA(+)
KX858447,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0024,384,partial,Cambodia,Cambodia,Myotis horsfieldii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2011-06-22,2017-03-17,ssRNA(+)
KX858448,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0026,385,partial,Cambodia,Cambodia,Myotis horsfieldii,oronasopharynx,,2011-06-22,2017-03-17,ssRNA(+)
KX858449,,Bat astrovirus Myr/Anhui/A900/2005,Bat astrovirus Myr/Anhui/A900/2005,Mamastrovirus,Astroviridae,,Bat Astrovirus Myr/Anhui/A900/2005/PREDICT_KH11KCh1-0037,382,partial,Cambodia,Cambodia,Myotis horsfieldii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2011-06-22,2017-03-17,ssRNA(+)
KX858450,,Bat astrovirus Myr/Anhui/A900/2005,Bat astrovirus Myr/Anhui/A900/2005,Mamastrovirus,Astroviridae,,Bat Astrovirus Myr/Anhui/A900/2005/PREDICT_KH11KCh1-0029,368,partial,Cambodia,Cambodia,Myotis horsfieldii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2011-06-22,2017-03-17,ssRNA(+)
KX858451,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0007,384,partial,Cambodia,Cambodia,Myotis horsfieldii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2011-06-22,2017-03-17,ssRNA(+)
KX858452,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0011,348,partial,Cambodia,Cambodia,Myotis horsfieldii,feces,,2011-06-22,2017-03-17,ssRNA(+)
KX858453,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0021,385,partial,Cambodia,Cambodia,Myotis horsfieldii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2011-06-22,2017-03-17,ssRNA(+)
KX858454,,Bat astrovirus Myr/Anhui/A900/2005,Bat astrovirus Myr/Anhui/A900/2005,Mamastrovirus,Astroviridae,,Bat Astrovirus Myr/Anhui/A900/2005/PREDICT_KH11KCh1-0029,368,partial,Cambodia,Cambodia,Myotis horsfieldii,oronasopharynx,,2011-06-22,2017-03-17,ssRNA(+)
KX858455,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-27/KH11KCh1-0008,384,partial,Cambodia,Cambodia,Myotis horsfieldii,oronasopharynx,,2011-06-22,2017-03-17,ssRNA(+)
KX858456,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-27/KH11KCh1-0008,384,partial,Cambodia,Cambodia,Myotis horsfieldii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2011-06-22,2017-03-17,ssRNA(+)
KX858457,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0012,384,partial,Cambodia,Cambodia,Myotis horsfieldii,oronasopharynx,,2011-06-22,2017-03-17,ssRNA(+)
KX858458,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0016,385,partial,Cambodia,Cambodia,Myotis horsfieldii,oronasopharynx,,2011-06-22,2017-03-17,ssRNA(+)
KX858459,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0012,384,partial,Cambodia,Cambodia,Myotis horsfieldii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2011-06-22,2017-03-17,ssRNA(+)
KX858460,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0016,385,partial,Cambodia,Cambodia,Myotis horsfieldii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2011-06-22,2017-03-17,ssRNA(+)
KX858461,,Bat astrovirus Myr/Anhui/A900/2005,Bat astrovirus Myr/Anhui/A900/2005,Mamastrovirus,Astroviridae,,Bat Astrovirus Myr/Anhui/A900/2005/PREDICT_KH11KCh1-0004,382,partial,Cambodia,Cambodia,Myotis horsfieldii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2011-06-22,2017-03-17,ssRNA(+)
KX858462,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0002,383,partial,Cambodia,Cambodia,Myotis horsfieldii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2011-06-22,2017-03-17,ssRNA(+)
KX858463,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0002,383,partial,Cambodia,Cambodia,Myotis horsfieldii,oronasopharynx,,2011-06-22,2017-03-17,ssRNA(+)
KX858464,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0009,385,partial,Cambodia,Cambodia,Myotis horsfieldii,oronasopharynx,,2011-06-22,2017-03-17,ssRNA(+)
KX858465,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-28/KH11KCh1-0009,385,partial,Cambodia,Cambodia,Myotis horsfieldii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2011-06-22,2017-03-17,ssRNA(+)
KX858466,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-21/KHP12-SR6-0004,385,partial,Cambodia,Cambodia,Macaca fascicularis,feces,,2012-06-10,2017-03-17,ssRNA(+)
KX858467,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT3-0001,318,partial,Cambodia,Cambodia,Rattus sp.,oronasopharynx,,2012-09-26,2017-03-17,ssRNA(+)
KX858468,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT3-0002,367,partial,Cambodia,Cambodia,Rattus sp.,"feces, oronasopharynx",,2012-09-26,2017-03-17,ssRNA(+)
KX858469,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT3-0021,329,partial,Cambodia,Cambodia,Rattus sp.,feces,,2012-09-26,2017-03-17,ssRNA(+)
KX858470,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0020,367,partial,Cambodia,Cambodia,Rattus sp.,feces,,2012-09-18,2017-03-17,ssRNA(+)
KX858471,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-18/KHP12CT2-0026,333,partial,Cambodia,Cambodia,Rattus sp.,"oronasopharynx, feces",,2012-09-18,2017-03-17,ssRNA(+)
KX858472,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0019,367,partial,Cambodia,Cambodia,Rattus sp.,oronasopharynx,,2012-09-18,2017-03-17,ssRNA(+)
KX858473,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0019,367,partial,Cambodia,Cambodia,Rattus sp.,feces,,2012-09-18,2017-03-17,ssRNA(+)
KX858474,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0043,367,partial,Cambodia,Cambodia,Rattus sp.,feces,,2012-09-18,2017-03-17,ssRNA(+)
KX858475,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0022,336,partial,Cambodia,Cambodia,Rattus sp.,oronasopharynx,,2012-09-18,2017-03-17,ssRNA(+)
KX858476,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0022,336,partial,Cambodia,Cambodia,Rattus sp.,feces,,2012-09-18,2017-03-17,ssRNA(+)
KX858477,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0049,367,partial,Cambodia,Cambodia,Rattus sp.,oronasopharynx,,2012-09-18,2017-03-17,ssRNA(+)
KX858478,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0018,367,partial,Cambodia,Cambodia,Rattus sp.,oronasopharynx,,2012-09-18,2017-03-17,ssRNA(+)
KX858479,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0018,367,partial,Cambodia,Cambodia,Rattus sp.,feces,,2012-09-18,2017-03-17,ssRNA(+)
KX858480,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0020,367,partial,Cambodia,Cambodia,Rattus sp.,oronasopharynx,,2012-09-18,2017-03-17,ssRNA(+)
KX858481,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0009,325,partial,Cambodia,Cambodia,Rattus sp.,feces,,2012-09-18,2017-03-17,ssRNA(+)
KX858482,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0016,307,partial,Cambodia,Cambodia,Rattus sp.,oronasopharynx,,2012-09-18,2017-03-17,ssRNA(+)
KX858483,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0016,307,partial,Cambodia,Cambodia,Rattus sp.,feces,,2012-09-18,2017-03-17,ssRNA(+)
KX858484,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0017,367,partial,Cambodia,Cambodia,Rattus sp.,oronasopharynx,,2012-09-18,2017-03-17,ssRNA(+)
KX858485,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0017,367,partial,Cambodia,Cambodia,Rattus sp.,feces,,2012-09-18,2017-03-17,ssRNA(+)
KX858486,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0059,367,partial,Cambodia,Cambodia,Rattus sp.,oronasopharynx,,2012-09-18,2017-03-17,ssRNA(+)
KX858487,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0059,367,partial,Cambodia,Cambodia,Rattus sp.,feces,,2012-09-18,2017-03-17,ssRNA(+)
KX858488,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0014,367,partial,Cambodia,Cambodia,Rattus sp.,oronasopharynx,,2012-09-18,2017-03-17,ssRNA(+)
KX858489,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT2-0032,328,partial,Cambodia,Cambodia,Rattus sp.,feces,,2012-09-18,2017-03-17,ssRNA(+)
KX858490,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Mamastrovirus-25/PREDICT_KHP12CT1-0011,367,partial,Cambodia,Cambodia,Rattus sp.,oronasopharynx,,2012-04-23,2017-03-17,ssRNA(+)
KX858491,,Bat astrovirus SK/HK68/HK14/HK15/CHN/2007,Bat astrovirus SK/HK68/HK14/HK15/CHN/2007,Mamastrovirus,Astroviridae,,Bat Astrovirus SK/HK68/HK14/HK15/CHN/2007/PREDICT_KHP12PTR1-0008B,320,partial,Cambodia,Cambodia,Scotophilus kuhlii,feces,,2012-05-30,2017-03-17,ssRNA(+)
KX858492,,Mamastrovirus 1,Mamastrovirus hominis,Mamastrovirus,Astroviridae,,Mamastrovirus-1/PREDICT_KHP12PTR2-0128,282,partial,Cambodia,Cambodia,Scotophilus kuhlii,"feces, oronasopharynx",,2012-06-18,2017-03-17,ssRNA(+)
KX858493,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-24/KHP13-PTR1-0103,331,partial,Cambodia,Cambodia,Scotophilus kuhlii,oronasopharynx,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2013-05-27,2017-03-17,ssRNA(+)
KX858494,,Bat astrovirus Sk/HK63/CHN/2007,Bat astrovirus Sk/HK63/CHN/2007,Mamastrovirus,Astroviridae,,Bat Astrovirus Sk/HK63/CHN/2007/PREDICT_KHP13-PTR1-0106,382,partial,Cambodia,Cambodia,Scotophilus kuhlii,oronasopharynx,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2013-05-27,2017-03-17,ssRNA(+)
KX858495,,Bat astrovirus Ms/sy10/CHN/2008,Bat astrovirus Ms/sy10/CHN/2008,Mamastrovirus,Astroviridae,,Bat Astrovirus Ms/sy10/CHN/2008/PREDICT_KHP13-PTR1-0110,385,partial,Cambodia,Cambodia,Scotophilus kuhlii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2013-05-27,2017-03-17,ssRNA(+)
KX858496,,Bat astrovirus Ms/HK61/CHN/2007,Bat astrovirus Ms/HK61/CHN/2007,Mamastrovirus,Astroviridae,,Bat Astrovirus Ms/HK61/CHN/2007/PREDICT_KHP13-PTR1-0044,385,partial,Cambodia,Cambodia,Scotophilus kuhlii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2013-05-27,2017-03-17,ssRNA(+)
KX858497,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-167/KHP13-PTR1-0024,385,partial,Cambodia,Cambodia,Scotophilus kuhlii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2013-05-27,2017-03-17,ssRNA(+)
KX858498,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-24/KHP13-PTR1-0020,385,partial,Cambodia,Cambodia,Scotophilus kuhlii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2013-05-27,2017-03-17,ssRNA(+)
KX858499,,Bat astrovirus Ms/sy10/CHN/2008,Bat astrovirus Ms/sy10/CHN/2008,Mamastrovirus,Astroviridae,,Bat Astrovirus Ms/sy10/CHN/2008/PREDICT_KHP13-PTR1-0037,385,partial,Cambodia,Cambodia,Scotophilus kuhlii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2013-05-27,2017-03-17,ssRNA(+)
KX858500,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-24/KHP13-PTR1-0008,385,partial,Cambodia,Cambodia,Scotophilus kuhlii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2013-05-27,2017-03-17,ssRNA(+)
KX858501,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-24/KHP13-PTR1-0004,384,partial,Cambodia,Cambodia,Scotophilus kuhlii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2013-05-27,2017-03-17,ssRNA(+)
KX858502,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-24/KHP13-PTR1-0039,383,partial,Cambodia,Cambodia,Scotophilus kuhlii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2013-05-27,2017-03-17,ssRNA(+)
KX858503,,Bat astrovirus Ms/HK61/CHN/2007,Bat astrovirus Ms/HK61/CHN/2007,Mamastrovirus,Astroviridae,,Bat Astrovirus Ms/HK61/CHN/2007/PREDICT_KHP13-PTR1-0067,385,partial,Cambodia,Cambodia,Scotophilus kuhlii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2013-05-27,2017-03-17,ssRNA(+)
KX858504,,Bat astrovirus Ms/sy10/CHN/2008,Bat astrovirus Ms/sy10/CHN/2008,Mamastrovirus,Astroviridae,,Bat Astrovirus Ms/sy10/CHN/2008/PREDICT_KHP13-PTR1-0043,384,partial,Cambodia,Cambodia,Scotophilus kuhlii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2013-05-27,2017-03-17,ssRNA(+)
KX858505,,Mamastrovirus sp.,Mamastrovirus sp.,Mamastrovirus,Astroviridae,,Astrovirus_PREDICT MAstV-24/KHP13-PTR1-0009,384,partial,Cambodia,Cambodia,Scotophilus kuhlii,feces,"Lacroix,A., Duong,V., Hul,V., San,S., Davun,H., Omaliss,K., Chea,S., Hassanin,A., Theppangna,W., Silithammavong,S., Khammavong,K., Singhalath,S., Afelt,A., Greatorex,Z., Fine,A.E., Goldstein,T., Olson,S., Joly,D.O., Keatts,L., Dussart,P., Frutos,R., Buchy,P.",2013-05-27,2017-03-17,ssRNA(+)
