Accession,Description,Length,Part_1,Part_2,Part_3
MT138016.1,6134. MAG: Astroviridae sp. isolate rtr168ast1 genomic sequence,"6,762 bp linear RNA",6134. MAG: Astroviridae sp. isolate rtr168ast1 genomic sequence,,
MT138014.1,6135. MAG: Astroviridae sp. isolate rob181ast2 genomic sequence,"6,330 bp linear RNA",6135. MAG: Astroviridae sp. isolate rob181ast2 genomic sequence,,
MT138013.1,6136. MAG: Astroviridae sp. isolate rob181ast1 genomic sequence,"6,294 bp linear RNA",6136. MAG: Astroviridae sp. isolate rob181ast1 genomic sequence,,
MT138009.1,6137. MAG: Astroviridae sp. isolate prf037ast1nc genomic sequence,"6,371 bp linear RNA",6137. MAG: Astroviridae sp. isolate prf037ast1nc genomic sequence,,
MT138008.1,6138. MAG: Astroviridae sp. isolate ltt163ast1 genomic sequence,"6,734 bp linear RNA",6138. MAG: Astroviridae sp. isolate ltt163ast1 genomic sequence,,
MT138006.1,6139. MAG: Astroviridae sp. isolate hwf182ast2 genomic sequence,"7,154 bp linear RNA",6139. MAG: Astroviridae sp. isolate hwf182ast2 genomic sequence,,
MT138004.1,6140. MAG: Astroviridae sp. isolate hftbif16ast1nc genomic sequence,"7,044 bp linear RNA",6140. MAG: Astroviridae sp. isolate hftbif16ast1nc genomic sequence,,
MT138003.1,6141. MAG: Astroviridae sp. isolate ecw123ast1 genomic sequence,"6,579 bp linear RNA",6141. MAG: Astroviridae sp. isolate ecw123ast1 genomic sequence,,
MT138001.1,6142. MAG: Astroviridae sp. isolate coa197ast1 genomic sequence,"7,317 bp linear RNA",6142. MAG: Astroviridae sp. isolate coa197ast1 genomic sequence,,
MT138000.1,6143. MAG: Astroviridae sp. isolate coa196ast2nc genomic sequence,"7,406 bp linear RNA",6143. MAG: Astroviridae sp. isolate coa196ast2nc genomic sequence,,
MT137998.1,6144. MAG: Astroviridae sp. isolate cftbif23ast2nc genomic sequence,"4,406 bp linear RNA",6144. MAG: Astroviridae sp. isolate cftbif23ast2nc genomic sequence,,
MT137997.1,6145. MAG: Astroviridae sp. isolate cfe153ast02 genomic sequence,"6,893 bp linear RNA",6145. MAG: Astroviridae sp. isolate cfe153ast02 genomic sequence,,
MT137995.1,6146. MAG: Astroviridae sp. isolate bun145astnc1 genomic sequence,"5,496 bp linear RNA",6146. MAG: Astroviridae sp. isolate bun145astnc1 genomic sequence,,
MT137994.1,6147. MAG: Astroviridae sp. isolate bsk136ast01 genomic sequence,"6,442 bp linear RNA",6147. MAG: Astroviridae sp. isolate bsk136ast01 genomic sequence,,
MT137993.1,6148. MAG: Astroviridae sp. isolate brb026ast1 genomic sequence,"6,237 bp linear RNA",6148. MAG: Astroviridae sp. isolate brb026ast1 genomic sequence,,
MT137992.1,6149. MAG: Astroviridae sp. isolate bfb201ast01 genomic sequence,"7,384 bp linear RNA",6149. MAG: Astroviridae sp. isolate bfb201ast01 genomic sequence,,
MT137991.1,6150. MAG: Astroviridae sp. isolate bbr144ast1 genomic sequence,"7,060 bp linear RNA",6150. MAG: Astroviridae sp. isolate bbr144ast1 genomic sequence,,
MN841288.1,"6151. Solanum melongena bastro-like virus strain pt065-phy-4-plant 65, complete genome","7,836 bp linear RNA","6151. Solanum melongena bastro-like virus strain pt065-phy-4-plant 65, complete genome",,
MN718860.1,"6152. Bovine astrovirus strain ITA/2015/954-1 RNA-dependent RNA polymerase (ORF1b) gene, partial cds; and capsid protein (ORF2) gene, complete cds","2,998 bp linear RNA","6152. Bovine astrovirus strain ITA/2015/954-1 RNA-dependent RNA polymerase (ORF1b) gene, partial cds"," and capsid protein (ORF2) gene, complete cds",
MN444721.1,"6153. Human astrovirus 3 strain Hu/US/2017/CA-RGDS-1074, complete genome","6,790 bp linear RNA","6153. Human astrovirus 3 strain Hu/US/2017/CA-RGDS-1074, complete genome",,
MN920672.1,"6154. MAG: Astroviridae sp. isolate ytb090ast01, complete genome","7,420 bp linear RNA","6154. MAG: Astroviridae sp. isolate ytb090ast01, complete genome",,
MN920671.1,"6155. MAG: Astroviridae sp. isolate ytb089ast01, complete genome","7,172 bp linear RNA","6155. MAG: Astroviridae sp. isolate ytb089ast01, complete genome",,
MN920670.1,"6156. MAG: Astroviridae sp. isolate ybw202ast01, complete genome","6,701 bp linear RNA","6156. MAG: Astroviridae sp. isolate ybw202ast01, complete genome",,
MN920669.1,"6157. MAG: Astroviridae sp. isolate ybb150ast01, complete genome","6,816 bp linear RNA","6157. MAG: Astroviridae sp. isolate ybb150ast01, complete genome",,
MN920668.1,"6158. MAG: Astroviridae sp. isolate war204ast1, complete genome","6,848 bp linear RNA","6158. MAG: Astroviridae sp. isolate war204ast1, complete genome",,
MN920667.1,"6159. MAG: Astroviridae sp. isolate tom152ast2, complete genome","6,510 bp linear RNA","6159. MAG: Astroviridae sp. isolate tom152ast2, complete genome",,
MN920666.1,"6160. MAG: Astroviridae sp. isolate tom152ast1, complete genome","7,278 bp linear RNA","6160. MAG: Astroviridae sp. isolate tom152ast1, complete genome",,
MN920665.1,"6161. MAG: Astroviridae sp. isolate stc111ast1, complete genome","6,874 bp linear RNA","6161. MAG: Astroviridae sp. isolate stc111ast1, complete genome",,
MN920664.1,"6162. MAG: Astroviridae sp. isolate sru051ast1, complete genome","6,574 bp linear RNA","6162. MAG: Astroviridae sp. isolate sru051ast1, complete genome",,
MN920663.1,"6163. MAG: Astroviridae sp. isolate spa143ast1, complete genome","6,570 bp linear RNA","6163. MAG: Astroviridae sp. isolate spa143ast1, complete genome",,
MT152345.1,"6164. Grey squirrel astrovirus isolate UK 2010, partial genome","6,494 bp linear RNA","6164. Grey squirrel astrovirus isolate UK 2010, partial genome",,
KY073233.1,"6165. Porcine astrovirus 3 strain Faeces/TM1205-2013/HUN ORF1ab gene, partial cds; and ORF2 gene, complete cds","3,053 bp linear RNA","6165. Porcine astrovirus 3 strain Faeces/TM1205-2013/HUN ORF1ab gene, partial cds"," and ORF2 gene, complete cds",
EU091265.1,"6166. Human astrovirus strain CHN44082/LZ04 capsid protein precursor, gene, partial cds",212 bp linear RNA,"6166. Human astrovirus strain CHN44082/LZ04 capsid protein precursor, gene, partial cds",,
EU091263.1,"6167. Human astrovirus strain CHN43339/LZ05 capsid protein precursor, gene, partial cds",212 bp linear RNA,"6167. Human astrovirus strain CHN43339/LZ05 capsid protein precursor, gene, partial cds",,
EU091261.1,"6168. Human astrovirus strain CHN43227/LZ04 capsid protein precursor, gene, partial cds",212 bp linear RNA,"6168. Human astrovirus strain CHN43227/LZ04 capsid protein precursor, gene, partial cds",,
EU091260.1,"6169. Human astrovirus strain CHN3873/KM00 capsid protein precursor, gene, partial cds",212 bp linear RNA,"6169. Human astrovirus strain CHN3873/KM00 capsid protein precursor, gene, partial cds",,
EU030319.1,"6170. Human astrovirus strain HCMC477/2006 capsid protein gene, partial cds",609 bp linear RNA,"6170. Human astrovirus strain HCMC477/2006 capsid protein gene, partial cds",,
EU030318.1,"6171. Human astrovirus strain HCMC476/2006 capsid protein gene, partial cds",609 bp linear RNA,"6171. Human astrovirus strain HCMC476/2006 capsid protein gene, partial cds",,
EU030317.1,"6172. Human astrovirus strain HCMC400/2006 capsid protein gene, partial cds",603 bp linear RNA,"6172. Human astrovirus strain HCMC400/2006 capsid protein gene, partial cds",,
EU030316.1,"6173. Human astrovirus strain HCMC396/2006 capsid protein gene, partial cds",609 bp linear RNA,"6173. Human astrovirus strain HCMC396/2006 capsid protein gene, partial cds",,
EU030315.1,"6174. Human astrovirus strain HCMC395/2006 capsid protein gene, partial cds",606 bp linear RNA,"6174. Human astrovirus strain HCMC395/2006 capsid protein gene, partial cds",,
EU030314.1,"6175. Human astrovirus strain HCMC393/2006 capsid protein gene, partial cds",603 bp linear RNA,"6175. Human astrovirus strain HCMC393/2006 capsid protein gene, partial cds",,
EU030313.1,"6176. Human astrovirus strain HCMC387/2006 capsid protein gene, partial cds",603 bp linear RNA,"6176. Human astrovirus strain HCMC387/2006 capsid protein gene, partial cds",,
EU030312.1,"6177. Human astrovirus strain HCMC385/2006 capsid protein gene, partial cds",597 bp linear RNA,"6177. Human astrovirus strain HCMC385/2006 capsid protein gene, partial cds",,
EU030311.1,"6178. Human astrovirus strain HCMC384/2006 capsid protein gene, partial cds",582 bp linear RNA,"6178. Human astrovirus strain HCMC384/2006 capsid protein gene, partial cds",,
EU030310.1,"6179. Human astrovirus strain HCMC381/2006 capsid protein gene, partial cds",603 bp linear RNA,"6179. Human astrovirus strain HCMC381/2006 capsid protein gene, partial cds",,
EU030309.1,"6180. Human astrovirus strain HCMC378/2006 capsid protein gene, partial cds",606 bp linear RNA,"6180. Human astrovirus strain HCMC378/2006 capsid protein gene, partial cds",,
EU030308.1,"6181. Human astrovirus strain HCMC377/2006 capsid protein gene, partial cds",603 bp linear RNA,"6181. Human astrovirus strain HCMC377/2006 capsid protein gene, partial cds",,
EU030307.1,"6182. Human astrovirus strain HCMC376/2006 capsid protein gene, partial cds",603 bp linear RNA,"6182. Human astrovirus strain HCMC376/2006 capsid protein gene, partial cds",,
EU030306.1,"6183. Human astrovirus strain HCMC375/2006 capsid protein gene, partial cds",555 bp linear RNA,"6183. Human astrovirus strain HCMC375/2006 capsid protein gene, partial cds",,
EU030305.1,"6184. Human astrovirus strain HCMC370/2006 capsid protein gene, partial cds",567 bp linear RNA,"6184. Human astrovirus strain HCMC370/2006 capsid protein gene, partial cds",,
EU030304.1,"6185. Human astrovirus strain HCMC369/2006 capsid protein gene, partial cds",591 bp linear RNA,"6185. Human astrovirus strain HCMC369/2006 capsid protein gene, partial cds",,
EU030303.1,"6186. Human astrovirus strain HCMC368/2006 capsid protein gene, partial cds",588 bp linear RNA,"6186. Human astrovirus strain HCMC368/2006 capsid protein gene, partial cds",,
EU030302.1,"6187. Human astrovirus strain HCMC367/2006 capsid protein gene, partial cds",609 bp linear RNA,"6187. Human astrovirus strain HCMC367/2006 capsid protein gene, partial cds",,
EU030301.1,"6188. Human astrovirus strain HCMC366/2006 capsid protein gene, partial cds",597 bp linear RNA,"6188. Human astrovirus strain HCMC366/2006 capsid protein gene, partial cds",,
EU030300.1,"6189. Human astrovirus strain HCMC365/2006 capsid protein gene, partial cds",591 bp linear RNA,"6189. Human astrovirus strain HCMC365/2006 capsid protein gene, partial cds",,
EU030299.1,"6190. Human astrovirus strain HCMC362/2006 capsid protein gene, partial cds",582 bp linear RNA,"6190. Human astrovirus strain HCMC362/2006 capsid protein gene, partial cds",,
EU030298.1,"6191. Human astrovirus strain HCMC361/2006 capsid protein gene, partial cds",546 bp linear RNA,"6191. Human astrovirus strain HCMC361/2006 capsid protein gene, partial cds",,
EU030297.1,"6192. Human astrovirus strain HCMC360/2006 capsid protein gene, partial cds",573 bp linear RNA,"6192. Human astrovirus strain HCMC360/2006 capsid protein gene, partial cds",,
EU030296.1,"6193. Human astrovirus strain HCMC358/2006 capsid protein gene, partial cds",576 bp linear RNA,"6193. Human astrovirus strain HCMC358/2006 capsid protein gene, partial cds",,
EU030295.1,"6194. Human astrovirus strain HCMC226/2006 capsid protein gene, partial cds",558 bp linear RNA,"6194. Human astrovirus strain HCMC226/2006 capsid protein gene, partial cds",,
EU030294.1,"6195. Human astrovirus strain HCMC225/2006 capsid protein gene, partial cds",576 bp linear RNA,"6195. Human astrovirus strain HCMC225/2006 capsid protein gene, partial cds",,
EU030293.1,"6196. Human astrovirus strain HCMC221/2006 capsid protein gene, partial cds",567 bp linear RNA,"6196. Human astrovirus strain HCMC221/2006 capsid protein gene, partial cds",,
EU030292.1,"6197. Human astrovirus strain HCMC220/2006 capsid protein gene, partial cds",609 bp linear RNA,"6197. Human astrovirus strain HCMC220/2006 capsid protein gene, partial cds",,
EU030291.1,"6198. Human astrovirus strain HCMC216/2006 capsid protein gene, partial cds",576 bp linear RNA,"6198. Human astrovirus strain HCMC216/2006 capsid protein gene, partial cds",,
EU030290.1,"6199. Human astrovirus strain HCMC215/2006 capsid protein gene, partial cds",582 bp linear RNA,"6199. Human astrovirus strain HCMC215/2006 capsid protein gene, partial cds",,
EU030289.1,"6200. Human astrovirus strain HCMC209/2006 capsid protein gene, partial cds",588 bp linear RNA,"6200. Human astrovirus strain HCMC209/2006 capsid protein gene, partial cds",,
EU030288.1,"6201. Human astrovirus strain HCMC201/2006 capsid protein gene, partial cds",558 bp linear RNA,"6201. Human astrovirus strain HCMC201/2006 capsid protein gene, partial cds",,
EU030287.1,"6202. Human astrovirus strain HCMC169/2006 capsid protein gene, partial cds",594 bp linear RNA,"6202. Human astrovirus strain HCMC169/2006 capsid protein gene, partial cds",,
DQ517523.1,"6203. Porcine astrovirus capsid protein gene, partial cds",391 bp linear RNA,"6203. Porcine astrovirus capsid protein gene, partial cds",,
AF440797.1,"6204. Astrovirus sp. strain CAV4G capsid protein gene, partial cds",348 bp linear RNA,"6204. Astrovirus sp. strain CAV4G capsid protein gene, partial cds",,
AF440796.1,"6205. Astrovirus sp. strain CAV4F capsid protein gene, partial cds",348 bp linear RNA,"6205. Astrovirus sp. strain CAV4F capsid protein gene, partial cds",,
AF440795.1,"6206. Astrovirus sp. strain CAV4E capsid protein gene, partial cds",348 bp linear RNA,"6206. Astrovirus sp. strain CAV4E capsid protein gene, partial cds",,
AF440794.1,"6207. Astrovirus sp. strain CAV4D capsid protein gene, partial cds",348 bp linear RNA,"6207. Astrovirus sp. strain CAV4D capsid protein gene, partial cds",,
AF440793.1,"6208. Astrovirus sp. strain CAV4C capsid protein gene, partial cds",348 bp linear RNA,"6208. Astrovirus sp. strain CAV4C capsid protein gene, partial cds",,
AF440792.1,"6209. Astrovirus sp. strain CAV4B capsid protein gene, partial cds",348 bp linear RNA,"6209. Astrovirus sp. strain CAV4B capsid protein gene, partial cds",,
AF440791.1,"6210. Astrovirus sp. strain CAV4A capsid protein gene, partial cds",348 bp linear RNA,"6210. Astrovirus sp. strain CAV4A capsid protein gene, partial cds",,
AF440309.1,"6211. Astrovirus sp. isolate CAV3H capsid protein gene, partial cds",348 bp linear DNA,"6211. Astrovirus sp. isolate CAV3H capsid protein gene, partial cds",,
AF440308.1,"6212. Astrovirus sp. isolate CAV3G capsid protein gene, partial cds",348 bp linear DNA,"6212. Astrovirus sp. isolate CAV3G capsid protein gene, partial cds",,
AF440307.1,"6213. Astrovirus sp. isolate CAV3F capsid protein gene, partial cds",348 bp linear DNA,"6213. Astrovirus sp. isolate CAV3F capsid protein gene, partial cds",,
AF440306.1,"6214. Astrovirus sp. isolate CAV3E capsid protein gene, partial cds",348 bp linear DNA,"6214. Astrovirus sp. isolate CAV3E capsid protein gene, partial cds",,
AF440305.1,"6215. Astrovirus sp. isolate CAV3D capsid protein gene, partial cds",348 bp linear DNA,"6215. Astrovirus sp. isolate CAV3D capsid protein gene, partial cds",,
AF440304.1,"6216. Astrovirus sp. isolate CAV3C capsid protein gene, partial cds",348 bp linear DNA,"6216. Astrovirus sp. isolate CAV3C capsid protein gene, partial cds",,
AF440303.1,"6217. Astrovirus sp. isolate CAV3B capsid protein gene, partial cds",348 bp linear DNA,"6217. Astrovirus sp. isolate CAV3B capsid protein gene, partial cds",,
AF440302.1,"6218. Astrovirus sp. isolate CAV3A capsid protein gene, partial cds",348 bp linear DNA,"6218. Astrovirus sp. isolate CAV3A capsid protein gene, partial cds",,
AF440301.1,"6219. Astrovirus sp. isolate CAV2C capsid protein gene, partial cds",348 bp linear DNA,"6219. Astrovirus sp. isolate CAV2C capsid protein gene, partial cds",,
AF440300.1,"6220. Astrovirus sp. isolate CAV2B capsid protein gene, partial cds",348 bp linear DNA,"6220. Astrovirus sp. isolate CAV2B capsid protein gene, partial cds",,
AF440299.1,"6221. Astrovirus sp. isolate CAV2A capsid protein gene, partial cds",348 bp linear DNA,"6221. Astrovirus sp. isolate CAV2A capsid protein gene, partial cds",,
AF440298.1,"6222. Astrovirus sp. isolate CAV1G capsid protein gene, partial cds",348 bp linear DNA,"6222. Astrovirus sp. isolate CAV1G capsid protein gene, partial cds",,
AF440297.1,"6223. Astrovirus sp. isolate CAV1F capsid protein gene, partial cds",348 bp linear DNA,"6223. Astrovirus sp. isolate CAV1F capsid protein gene, partial cds",,
AF440296.1,"6224. Astrovirus sp. isolate CAV1E capsid protein gene, partial cds",348 bp linear DNA,"6224. Astrovirus sp. isolate CAV1E capsid protein gene, partial cds",,
AF440295.1,"6225. Astrovirus sp. isolate CAV1D capsid protein gene, partial cds",348 bp linear DNA,"6225. Astrovirus sp. isolate CAV1D capsid protein gene, partial cds",,
AF440294.1,"6226. Astrovirus sp. isolate CAV1C capsid protein gene, partial cds",348 bp linear DNA,"6226. Astrovirus sp. isolate CAV1C capsid protein gene, partial cds",,
AF440293.1,"6227. Astrovirus sp. isolate CAV1B capsid protein gene, partial cds",348 bp linear DNA,"6227. Astrovirus sp. isolate CAV1B capsid protein gene, partial cds",,
AF440292.1,"6228. Astrovirus sp. isolate CAV1A capsid protein gene, partial cds",348 bp linear DNA,"6228. Astrovirus sp. isolate CAV1A capsid protein gene, partial cds",,
AF348801.1,"6229. Human astrovirus isolate Bcn8.6 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6229. Human astrovirus isolate Bcn8.6 outer capsid protein precursor, gene, partial cds",,
AF348800.1,"6230. Human astrovirus isolate Bcn8.5 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6230. Human astrovirus isolate Bcn8.5 outer capsid protein precursor, gene, partial cds",,
AF348799.1,"6231. Human astrovirus isolate Bcn8.4 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6231. Human astrovirus isolate Bcn8.4 outer capsid protein precursor, gene, partial cds",,
AF348798.1,"6232. Human astrovirus isolate Bcn8.3 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6232. Human astrovirus isolate Bcn8.3 outer capsid protein precursor, gene, partial cds",,
AF348797.1,"6233. Human astrovirus isolate Bcn8.2 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6233. Human astrovirus isolate Bcn8.2 outer capsid protein precursor, gene, partial cds",,
AF348796.1,"6234. Human astrovirus isolate Bcn8.1 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6234. Human astrovirus isolate Bcn8.1 outer capsid protein precursor, gene, partial cds",,
AF348795.1,"6235. Human astrovirus isolate Bcn4.12 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6235. Human astrovirus isolate Bcn4.12 outer capsid protein precursor, gene, partial cds",,
AF348794.1,"6236. Human astrovirus isolate Bcn4.11 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6236. Human astrovirus isolate Bcn4.11 outer capsid protein precursor, gene, partial cds",,
AF348793.1,"6237. Human astrovirus isolate Bcn4.10 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6237. Human astrovirus isolate Bcn4.10 outer capsid protein precursor, gene, partial cds",,
AF348792.1,"6238. Human astrovirus isolate Bcn4.9 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6238. Human astrovirus isolate Bcn4.9 outer capsid protein precursor, gene, partial cds",,
AF348791.1,"6239. Human astrovirus isolate Bcn4.8 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6239. Human astrovirus isolate Bcn4.8 outer capsid protein precursor, gene, partial cds",,
AF348790.1,"6240. Human astrovirus isolate Bcn4.7 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6240. Human astrovirus isolate Bcn4.7 outer capsid protein precursor, gene, partial cds",,
AF348789.1,"6241. Human astrovirus isolate Bcn4.6 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6241. Human astrovirus isolate Bcn4.6 outer capsid protein precursor, gene, partial cds",,
AF348788.1,"6242. Human astrovirus isolate Bcn4.5 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6242. Human astrovirus isolate Bcn4.5 outer capsid protein precursor, gene, partial cds",,
AF348787.1,"6243. Human astrovirus isolate Bcn4.4 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6243. Human astrovirus isolate Bcn4.4 outer capsid protein precursor, gene, partial cds",,
AF348786.1,"6244. Human astrovirus isolate Bcn4.3 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6244. Human astrovirus isolate Bcn4.3 outer capsid protein precursor, gene, partial cds",,
AF348785.1,"6245. Human astrovirus isolate Bcn4.2 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6245. Human astrovirus isolate Bcn4.2 outer capsid protein precursor, gene, partial cds",,
AF348784.1,"6246. Human astrovirus isolate Bcn4.1 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6246. Human astrovirus isolate Bcn4.1 outer capsid protein precursor, gene, partial cds",,
AF348783.1,"6247. Human astrovirus isolate Bcn3.10 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6247. Human astrovirus isolate Bcn3.10 outer capsid protein precursor, gene, partial cds",,
AF348782.1,"6248. Human astrovirus isolate Bcn3.9 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6248. Human astrovirus isolate Bcn3.9 outer capsid protein precursor, gene, partial cds",,
AF348781.1,"6249. Human astrovirus isolate Bcn3.8 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6249. Human astrovirus isolate Bcn3.8 outer capsid protein precursor, gene, partial cds",,
AF348780.1,"6250. Human astrovirus isolate Bcn3.7 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6250. Human astrovirus isolate Bcn3.7 outer capsid protein precursor, gene, partial cds",,
AF348779.1,"6251. Human astrovirus isolate Bcn3.6 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6251. Human astrovirus isolate Bcn3.6 outer capsid protein precursor, gene, partial cds",,
AF348778.1,"6252. Human astrovirus isolate Bcn3.5 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6252. Human astrovirus isolate Bcn3.5 outer capsid protein precursor, gene, partial cds",,
AF348777.1,"6253. Human astrovirus isolate Bcn3.4 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6253. Human astrovirus isolate Bcn3.4 outer capsid protein precursor, gene, partial cds",,
AF348776.1,"6254. Human astrovirus isolate Bcn3.3 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6254. Human astrovirus isolate Bcn3.3 outer capsid protein precursor, gene, partial cds",,
AF348775.1,"6255. Human astrovirus isolate Bcn3.2 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6255. Human astrovirus isolate Bcn3.2 outer capsid protein precursor, gene, partial cds",,
AF348774.1,"6256. Human astrovirus isolate Bcn3.1 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6256. Human astrovirus isolate Bcn3.1 outer capsid protein precursor, gene, partial cds",,
AF348773.1,"6257. Human astrovirus isolate Bcn2.3 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6257. Human astrovirus isolate Bcn2.3 outer capsid protein precursor, gene, partial cds",,
AF348772.1,"6258. Human astrovirus isolate Bcn2.2 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6258. Human astrovirus isolate Bcn2.2 outer capsid protein precursor, gene, partial cds",,
AF348771.1,"6259. Human astrovirus isolate Bcn2.1 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6259. Human astrovirus isolate Bcn2.1 outer capsid protein precursor, gene, partial cds",,
AF348770.1,"6260. Human astrovirus isolate Bcn1.18 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6260. Human astrovirus isolate Bcn1.18 outer capsid protein precursor, gene, partial cds",,
AF348769.1,"6261. Human astrovirus isolate Bcn1.17 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6261. Human astrovirus isolate Bcn1.17 outer capsid protein precursor, gene, partial cds",,
AF348768.1,"6262. Human astrovirus isolate Bcn1.16 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6262. Human astrovirus isolate Bcn1.16 outer capsid protein precursor, gene, partial cds",,
AF348767.1,"6263. Human astrovirus isolate Bcn1.15 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6263. Human astrovirus isolate Bcn1.15 outer capsid protein precursor, gene, partial cds",,
AF348766.1,"6264. Human astrovirus isolate Bcn1.14 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6264. Human astrovirus isolate Bcn1.14 outer capsid protein precursor, gene, partial cds",,
AF348765.1,"6265. Human astrovirus isolate Bcn1.13 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6265. Human astrovirus isolate Bcn1.13 outer capsid protein precursor, gene, partial cds",,
AF348764.1,"6266. Human astrovirus isolate Bcn1.12 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6266. Human astrovirus isolate Bcn1.12 outer capsid protein precursor, gene, partial cds",,
AF348763.1,"6267. Human astrovirus isolate Bcn1.11 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6267. Human astrovirus isolate Bcn1.11 outer capsid protein precursor, gene, partial cds",,
AF348762.1,"6268. Human astrovirus isolate Bcn1.10 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6268. Human astrovirus isolate Bcn1.10 outer capsid protein precursor, gene, partial cds",,
AF348761.1,"6269. Human astrovirus isolate Bcn1.9 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6269. Human astrovirus isolate Bcn1.9 outer capsid protein precursor, gene, partial cds",,
AF348760.1,"6270. Human astrovirus isolate Bcn1.8 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6270. Human astrovirus isolate Bcn1.8 outer capsid protein precursor, gene, partial cds",,
AF348759.1,"6271. Human astrovirus isolate Bcn1.7 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6271. Human astrovirus isolate Bcn1.7 outer capsid protein precursor, gene, partial cds",,
AF348758.1,"6272. Human astrovirus isolate Bcn1.6 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6272. Human astrovirus isolate Bcn1.6 outer capsid protein precursor, gene, partial cds",,
AF348757.1,"6273. Human astrovirus isolate Bcn1.5 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6273. Human astrovirus isolate Bcn1.5 outer capsid protein precursor, gene, partial cds",,
AF348756.1,"6274. Human astrovirus isolate Bcn1.4 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6274. Human astrovirus isolate Bcn1.4 outer capsid protein precursor, gene, partial cds",,
AF348755.1,"6275. Human astrovirus isolate Bcn1.3 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6275. Human astrovirus isolate Bcn1.3 outer capsid protein precursor, gene, partial cds",,
AF348754.1,"6276. Human astrovirus isolate Bcn1.2 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6276. Human astrovirus isolate Bcn1.2 outer capsid protein precursor, gene, partial cds",,
AF348753.1,"6277. Human astrovirus isolate Bcn1.1 outer capsid protein precursor, gene, partial cds",348 bp linear RNA,"6277. Human astrovirus isolate Bcn1.1 outer capsid protein precursor, gene, partial cds",,
AF292072.1,"6278. Human astrovirus ORF1b protein and capsid protein precursor, genes, partial cds","1,255 bp linear RNA","6278. Human astrovirus ORF1b protein and capsid protein precursor, genes, partial cds",,
MN413618.1,"6279. Chicken astrovirus isolate USP/BR/1276-1 capsid protein gene, complete cds","2,217 bp linear RNA","6279. Chicken astrovirus isolate USP/BR/1276-1 capsid protein gene, complete cds",,
MN413617.1,"6280. Chicken astrovirus isolate USP/BR/1220 capsid protein gene, complete cds","2,217 bp linear RNA","6280. Chicken astrovirus isolate USP/BR/1220 capsid protein gene, complete cds",,
MN413616.1,"6281. Chicken astrovirus isolate USP/BR/1204 capsid protein gene, complete cds","2,217 bp linear RNA","6281. Chicken astrovirus isolate USP/BR/1204 capsid protein gene, complete cds",,
MN413615.1,"6282. Chicken astrovirus isolate USP/BR/1052-2 capsid protein gene, partial cds","2,160 bp linear RNA","6282. Chicken astrovirus isolate USP/BR/1052-2 capsid protein gene, partial cds",,
